,tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres
393505,tt0409847,movie,Cowboys & Aliens,0,2011,119,"Action,Sci-Fi,Thriller"
393979,tt0410326,tvEpisode,Movie Theatre Tech,0,2011,\N,"Documentary,History"
395568,tt0411951,movie,Tekken,0,2010,87,"Action,Crime,Drama"
401073,tt0417610,movie,Asleep in the Sun,0,2010,83,Fantasy
401210,tt0417750,movie,Hempsters: Plant the Seed,0,2010,90,Documentary
403098,tt0419692,movie,Disconnect,0,2010,112,"Drama,Mystery,Sci-Fi"
406801,tt0423474,movie,Venus & Vegas,0,2010,95,"Action,Comedy,Crime"
409055,tt0425785,movie,El borde del tiempo,0,2011,100,Drama
409671,tt0426410,movie,Beisbol,0,2010,\N,Documentary
410393,tt0427152,movie,Dinner for Schmucks,0,2010,114,Comedy
412689,tt0429493,movie,The A-Team,0,2010,117,"Action,Adventure,Thriller"
413696,tt0430524,movie,The Rescuer,0,2011,84,Documentary
416127,tt0433035,movie,Real Steel,0,2011,127,"Action,Drama,Sci-Fi"
416474,tt0433397,movie,Satin,0,2011,84,"Comedy,Drama,Music"
418786,tt0435761,movie,Toy Story 3,0,2010,103,"Adventure,Animation,Comedy"
419241,tt0436230,movie,Mexican Devil,0,2010,\N,"Horror,Thriller"
420446,tt0437462,movie,"Cargo, les hommes perdus.",0,2010,93,"Adventure,Romance"
422649,tt0439724,movie,Moving Target,0,2011,\N,"Drama,Thriller"
422724,tt0439801,movie,Segurança Nacional,0,2010,86,Action
424662,tt0441779,movie,My Nappy Roots: A Journey Through Black Hair-itage,0,2010,90,Documentary
426184,tt0443331,movie,Milenge Milenge,0,2010,109,"Drama,Romance"
427354,tt0444531,movie,Vidas pequeñas,0,2010,115,Drama
427857,tt0445054,movie,7 Days,0,2010,105,"Crime,Drama,Horror"
428811,tt0446029,movie,Scott Pilgrim vs. the World,0,2010,112,"Action,Comedy,Fantasy"
429434,tt0446686,movie,Dream Street,0,2010,\N,Drama
430719,tt0448022,movie,A Bird of the Air,0,2011,108,"Drama,Romance"
430992,tt0448304,tvSeries,Tanging yaman,0,2010,\N,Drama
431375,tt0448694,movie,Puss in Boots,0,2011,90,"Adventure,Animation,Comedy"
431682,tt0449005,movie,Diary of a Bad Lad,0,2010,92,"Comedy,Crime"
433727,tt0451108,movie,Mad World,0,2010,98,Drama
433768,tt0451154,movie,The Passing,0,2011,92,Horror
436675,tt0454155,movie,El hada buena - Una fábula peronista,0,2010,85,"Comedy,Drama,Sci-Fi"
437902,tt0455407,movie,The Crazies,0,2010,101,"Horror,Thriller"
440018,tt0457591,movie,Memorias del desarrollo,0,2010,113,Drama
440758,tt0458339,movie,Captain America: The First Avenger,0,2011,124,"Action,Adventure,Sci-Fi"
442152,tt0459748,movie,Generation P,0,2011,112,"Comedy,Drama,Sci-Fi"
443165,tt0460778,movie,Drunkboat,0,2010,98,Drama
443195,tt0460809,movie,The Grasslands,0,2011,114,Drama
443704,tt0461336,movie,Saving Private Perez,0,2011,105,"Adventure,Comedy,Western"
444835,tt0462516,movie,Satan Hates You,0,2010,94,Horror
444853,tt0462536,movie,Silent Alarm,0,2011,82,"Comedy,Drama,Thriller"
445613,tt0463311,movie,Federal,0,2010,91,"Drama,Thriller"
446318,tt0464032,movie,"Guns, Drugs and Dirty Money",0,2010,123,"Action,Comedy,Crime"
446437,tt0464154,movie,Piranha 3D,0,2010,88,"Comedy,Horror"
446445,tt0464162,movie,Komaram Puli,0,2010,163,"Action,Crime,Thriller"
447150,tt0464891,movie,Act Your Age,0,2011,101,"Comedy,Drama"
447871,tt0465637,movie,Taken by Force,0,2010,90,"Action,Drama"
447904,tt0465673,video,Within: Terror Resides...,0,2011,85,"Horror,Thriller"
447990,tt0465760,movie,Sensual,0,2010,99,Drama
448759,tt0466553,movie,Golapi Ekhon Bilatey,0,2010,\N,Musical
448866,tt0466662,videoGame,Alan Wake,0,2010,\N,"Action,Horror,Mystery"
449088,tt0466893,movie,Margaret,0,2011,150,Drama
451232,tt0469094,movie,Harlem Hostel,0,2010,81,"Comedy,Drama"
451288,tt0469152,movie,Smoking Nonsmoking,0,2011,84,Drama
451294,tt0469158,movie,Platinum Illusions,0,2011,\N,"Action,Drama"
453135,tt0471042,movie,Tower Heist,0,2011,104,"Action,Comedy,Crime"
454248,tt0472181,movie,The Smurfs,0,2011,103,"Adventure,Animation,Comedy"
454462,tt0472399,movie,The Mechanic,0,2011,93,"Action,Thriller"
455116,tt0473075,movie,Prince of Persia: The Sands of Time,0,2010,116,"Action,Adventure,Fantasy"
455127,tt0473088,movie,Stan,0,2011,\N,Comedy
455159,tt0473122,movie,Bamboo Shark,0,2011,\N,Comedy
455374,tt0473343,movie,Cielito lindo,0,2010,91,"Drama,Thriller"
457937,tt0475983,movie,The Deafening Silence of a Very Bright Light,0,2010,92,Drama
457974,tt0476023,movie,Stiffs,0,2010,104,Comedy
458995,tt0477080,movie,Unstoppable,0,2010,98,"Action,Thriller"
459002,tt0477087,movie,Sid Bernstein Presents...,0,2010,100,Documentary
459201,tt0477302,movie,Extremely Loud & Incredibly Close,0,2011,129,"Adventure,Drama,Mystery"
460173,tt0478304,movie,The Tree of Life,0,2011,139,"Drama,Fantasy"
460521,tt0478660,movie,El horror de la dama del lago,0,2010,90,"Fantasy,Horror,Thriller"
460906,tt0479051,movie,The Greater Meaning of Water,0,2010,60,"Drama,Sport"
461051,tt0479204,movie,Perfect Life,0,2010,98,"Horror,Thriller"
461632,tt0479807,movie,Abhishapt,0,2011,\N,Drama
461812,tt0479997,movie,Season of the Witch,0,2011,95,"Action,Adventure,Fantasy"
462035,tt0480239,movie,Atlas Shrugged: Part I,0,2011,97,"Drama,Mystery,Sci-Fi"
462047,tt0480255,movie,The Losers,0,2010,97,"Action,Adventure,Crime"
462472,tt0480687,movie,Hall Pass,0,2011,105,"Comedy,Romance"
464196,tt0482459,movie,Bandage,0,2010,119,"Drama,Music,Romance"
464198,tt0482461,movie,Barry Munday,0,2010,95,"Comedy,Drama,Romance"
465289,tt0483586,movie,Chasing 3000,0,2010,115,"Family,Sport"
465437,tt0483740,movie,Monkey Man,0,2011,\N,Comedy
465532,tt0483839,movie,A Woman Is a Woman,0,2010,102,"Comedy,Drama"
465727,tt0484037,movie,Gente mala del norte,0,2011,97,"Drama,History"
466499,tt0484828,movie,La daga de Rasputín,0,2011,99,"Adventure,Comedy"
467383,tt0485746,tvSeries,Viva Carthago,0,2011,27,"Adventure,Animation,History"
471714,tt0490199,movie,PrimeMates,0,2010,82,"Comedy,Drama"
471750,tt0490236,movie,The Invited,0,2010,95,"Horror,Thriller"
472349,tt0490847,movie,Double Tap,0,2011,100,"Action,Crime,Drama"
472647,tt0491152,movie,Something Borrowed,0,2011,112,"Comedy,Drama,Romance"
473851,tt0492389,movie,Furry Vengeance,0,2010,92,"Comedy,Family"
474695,tt0493252,tvSpecial,"The I Do Diaries: Beg, Borrow & Steal",0,2010,60,Reality-TV
475370,tt0493949,movie,Ramona and Beezus,0,2010,104,"Comedy,Drama,Family"
475643,tt0494229,movie,Good Sharma,0,2010,100,Drama
476419,tt0495037,movie,O Inimigo Sem Rosto,0,2010,85,"Crime,Drama"
478686,tt0497352,videoGame,Darkstar: The Interactive Movie,0,2010,\N,"Action,Adventure,Mystery"
479336,tt0498025,tvSeries,Comentário Geral,0,2010,\N,News
480672,tt0499400,tvMiniSeries,The Nine Lives of Chloe King,0,2011,60,"Action,Adventure,Crime"
480861,tt0499608,movie,Tranced,0,2010,\N,"Drama,Fantasy,Romance"
495651,tt0515077,tvEpisode,Episode dated 28 November 2010,0,2010,\N,"Drama,Romance"
571691,tt0592312,tvEpisode,Xô Perereca,0,2010,32,Comedy
588561,tt0609407,tvEpisode,Death Climb,0,2011,42,"Biography,Documentary,Drama"
733761,tt0756727,movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),0,2010,116,"Biography,Documentary,Music"
735732,tt0758752,movie,Love & Other Drugs,0,2010,112,"Comedy,Drama,Romance"
742233,tt0765459,video,Horrorween,0,2011,\N,"Comedy,Horror"
742238,tt0765465,movie,The Legend of Secret Pass,0,2010,92,"Animation,Family,Fantasy"
742254,tt0765485,movie,Waste of Space,0,2010,78,"Adventure,Comedy,Sci-Fi"
744732,tt0768073,tvEpisode,Episode #5.45,0,2011,\N,Drama
744836,tt0768187,movie,Me and My Umbrella,0,2010,78,"Family,Fantasy"
747275,tt0770703,movie,What's Your Number?,0,2011,106,"Comedy,Romance"
747294,tt0770728,movie,California Indian,0,2011,90,Drama
747332,tt0770778,movie,King of the Avenue,0,2010,83,"Drama,Fantasy,Thriller"
747351,tt0770802,movie,Samsara,0,2011,102,"Documentary,Music"
747366,tt0770819,movie,She's Out of His Mind,0,2011,80,"Comedy,Romance"
748685,tt0772179,movie,Kill,0,2011,90,"Comedy,Horror,Thriller"
750951,tt0774519,movie,The Chosen Heaven,0,2010,123,"Drama,Thriller"
751873,tt0775461,movie,The Rain Fairy,0,2010,100,"Family,Fantasy"
751899,tt0775489,movie,The Illusionist,0,2010,90,"Animation,Drama,Family"
751939,tt0775543,movie,Night Catches Us,0,2010,90,"Drama,Romance"
756776,tt0780504,movie,Drive,0,2011,100,"Crime,Drama"
756891,tt0780645,movie,War of the Dead,0,2011,86,"Action,Adventure,Horror"
756897,tt0780653,movie,The Wolfman,0,2010,103,"Drama,Fantasy,Horror"
757671,tt0781441,movie,Escalade,0,2011,80,Thriller
758267,tt0782047,movie,Irreversi,0,2010,\N,Thriller
760724,tt0784584,tvEpisode,I Called Him Magoo,0,2010,22,"Comedy,Romance"
766623,tt0790663,movie,The First Grader,0,2010,103,"Biography,Drama,Romance"
770898,tt0795067,tvEpisode,Avotar,0,2010,\N,Comedy
771263,tt0795459,movie,Wilde Salomé,0,2011,95,"Documentary,Drama"
774514,tt0798817,movie,13,0,2010,91,"Crime,Drama,Thriller"
775652,tt0799975,video,Carnies,0,2010,82,"Horror,Thriller"
775711,tt0800037,tvMovie,For Love of Liberty: The Story of America's Black Patriots,0,2010,115,Documentary
775728,tt0800054,movie,The Guardians,0,2010,88,"Comedy,Family"
775762,tt0800092,movie,Ironmen,0,2010,119,"Biography,Drama"
775972,tt0800320,movie,Clash of the Titans,0,2010,106,"Action,Adventure,Fantasy"
776002,tt0800353,movie,Nemesis,0,2010,83,Drama
776015,tt0800369,movie,Thor,0,2011,115,"Action,Adventure,Fantasy"
778629,tt0803061,movie,Red Dog,0,2011,92,"Biography,Comedy,Drama"
780015,tt0804483,movie,Folk!,0,2010,\N,Documentary
780026,tt0804497,movie,It's Kind of a Funny Story,0,2010,101,"Comedy,Drama,Romance"
781123,tt0805617,movie,Spoon,0,2011,\N,"Action,Drama,Fantasy"
783709,tt0808245,movie,A Letter to Elia,0,2010,60,Documentary
783956,tt0808510,movie,Tooth Fairy,0,2010,101,"Comedy,Family,Fantasy"
786216,tt0810815,movie,Cross the Line,0,2010,87,Action
786257,tt0810856,movie,Eyes of the Mothman,0,2011,150,Documentary
786311,tt0810913,movie,Jack and Jill,0,2011,91,Comedy
786320,tt0810922,movie,Take Me Home Tonight,0,2011,114,"Comedy,Drama,Romance"
786414,tt0811021,movie,Birds of Paradise,0,2010,80,"Adventure,Animation,Comedy"
786458,tt0811069,movie,Lavoe,0,2011,90,"Drama,Music"
789312,tt0813992,movie,American Flyer,0,2010,100,Adventure
789560,tt0814255,movie,Percy Jackson & the Olympians: The Lightning Thief,0,2010,118,"Adventure,Family,Fantasy"
790379,tt0815101,movie,Ashes,0,2010,77,"Crime,Drama"
790504,tt0815236,movie,She's Out of My League,0,2010,104,"Comedy,Romance"
791568,tt0816362,movie,Card Subject to Change,0,2010,87,Documentary
791663,tt0816462,movie,Conan the Barbarian,0,2011,113,"Action,Adventure,Fantasy"
791836,tt0816648,movie,Shanghai Hotel,0,2011,110,Drama
792352,tt0817177,movie,Flipped,0,2010,90,"Comedy,Drama,Romance"
792405,tt0817230,movie,Valentine's Day,0,2010,125,"Comedy,Romance"
793257,tt0818098,movie,Dreamkiller,0,2010,110,Thriller
793325,tt0818172,movie,Soupernatural,0,2010,\N,Drama
797900,tt0822847,movie,Priest,0,2011,87,"Action,Horror,Thriller"
800250,tt0825282,movie,The Long Falling,0,2011,105,Drama
801471,tt0826532,movie,Return to Yucca Flats: Desert Man-Beast,0,2010,79,"Comedy,Horror"
801742,tt0826823,movie,Magic,0,2010,\N,"Adventure,Family"
805991,tt0831280,movie,Waking Madison,0,2010,89,Drama
806559,tt0831881,movie,Land,0,2010,76,Documentary
814738,tt0840358,movie,Everyday Sunshine: The Story of Fishbone,0,2010,107,"Documentary,Music"
814741,tt0840361,movie,The Town,0,2010,125,"Crime,Drama,Thriller"
815149,tt0840789,movie,Río de oro,0,2010,100,Western
817192,tt0842926,movie,The Kids Are All Right,0,2010,106,"Comedy,Drama,Romance"
819084,tt0844866,movie,Killer by Nature,0,2010,94,"Adventure,Crime,Drama"
819131,tt0844915,movie,Pox,0,2011,100,"Comedy,Sci-Fi"
819208,tt0844993,movie,Hoodwinked Too! Hood vs. Evil,0,2011,86,"Animation,Comedy,Crime"
820200,tt0846004,movie,Gangster Exchange,0,2010,95,"Action,Comedy"
821343,tt0847180,movie,Loot,0,2011,110,"Action,Comedy,Crime"
821375,tt0847215,movie,Neowolf,0,2010,88,"Horror,Thriller"
821874,tt0847735,movie,Fun in the Army,0,2010,\N,Comedy
821956,tt0847825,movie,The Speed of Thought,0,2011,93,"Sci-Fi,Thriller"
824730,tt0850659,video,Change Your Life!,0,2010,\N,Comedy
824780,tt0850709,movie,Risen,0,2010,121,"Biography,Drama"
826960,tt0852939,movie,Bloudím,0,2010,75,Drama
827006,tt0852986,movie,Naked Run,0,2011,84,Comedy
827022,tt0853002,movie,A Summer Song,0,2010,\N,Drama
827171,tt0853155,movie,This Is What Love in Action Looks Like,0,2011,74,Documentary
830708,tt0856796,movie,Kolorádó Kid,0,2010,111,"Drama,Romance"
832265,tt0858411,movie,2001 Maniacs: Field of Screams,0,2010,84,"Comedy,Horror"
832275,tt0858422,movie,Immortal Island,0,2011,84,"Adventure,Horror,Thriller"
832350,tt0858500,movie,Wide Blue Yonder,0,2010,88,"Comedy,Drama"
833449,tt0859612,movie,The Golden Greek: The Harry Agganis Story,0,2010,\N,Documentary
835452,tt0861747,movie,Zenitram,0,2010,103,"Action,Adventure,Comedy"
839190,tt0865561,movie,6 Month Rule,0,2011,100,Comedy
839536,tt0865911,movie,Catharsis,0,2011,89,Mystery
843693,tt0870208,movie,Touch Wood,0,2010,\N,Comedy
845305,tt0871893,movie,"Surprise, Surprise",0,2010,83,Drama
845633,tt0872230,movie,My Soul to Take,0,2010,107,"Horror,Mystery,Thriller"
847227,tt0873886,movie,Red State,0,2011,88,"Action,Crime,Horror"
847753,tt0874421,movie,Beijing Taxi,0,2010,78,Documentary
847757,tt0874426,movie,The Secret Philosophy,0,2010,90,Thriller
848906,tt0875612,movie,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,0,2011,\N,Documentary
848907,tt0875613,movie,Rift,0,2011,100,"Horror,Thriller"
848995,tt0875702,movie,Bury the Hatchet,0,2010,120,Documentary
851860,tt0878654,movie,Bulletface,0,2010,82,Thriller
851877,tt0878672,movie,First Circle,0,2010,72,Documentary
852036,tt0878835,movie,Please Give,0,2010,87,"Comedy,Drama"
853036,tt0879859,movie,Torn,0,2010,\N,Thriller
853046,tt0879870,movie,Eat Pray Love,0,2010,133,"Biography,Drama,Romance"
853709,tt0880569,movie,Mama I Want to Sing,0,2011,100,"Drama,Family,Musical"
854431,tt0881320,movie,Sanctum,0,2011,108,"Action,Adventure,Drama"
855817,tt0882741,movie,AIR: The Musical,0,2010,100,"Comedy,Musical,Romance"
857219,tt0884214,movie,Wreckage,0,2010,87,"Horror,Thriller"
857326,tt0884325,movie,Drain Baby,0,2011,\N,Horror
859437,tt0886515,tvMovie,Medium Raw: Night of the Wolf,0,2010,100,"Fantasy,Thriller"
860056,tt0887143,movie,Hyenas,0,2011,92,Horror
860074,tt0887161,movie,Repo,0,2010,97,"Comedy,Drama"
860649,tt0887751,movie,Honor,0,2010,118,"Crime,Drama,Thriller"
862430,tt0889573,movie,The Switch,0,2010,101,"Comedy,Drama,Romance"
864838,tt0892077,movie,Gun of the Black Sun,0,2011,90,Fantasy
865075,tt0892318,movie,Letters to Juliet,0,2010,105,"Adventure,Comedy,Drama"
865497,tt0892769,movie,How to Train Your Dragon,0,2010,98,"Action,Adventure,Animation"
865517,tt0892791,movie,Shrek Forever After,0,2010,93,"Adventure,Animation,Comedy"
866015,tt0893310,movie,Blur,0,2011,90,"Drama,Mystery,Thriller"
866112,tt0893412,movie,From Prada to Nada,0,2011,107,"Comedy,Drama,Romance"
869406,tt0896872,movie,The Whistleblower,0,2010,112,"Biography,Crime,Drama"
871607,tt0899145,movie,Don't Fade Away,0,2010,89,Drama
871615,tt0899154,movie,The Key Man,0,2011,80,"Crime,Drama,Thriller"
873868,tt0901504,movie,Psych:9,0,2010,98,"Horror,Mystery,Thriller"
874582,tt0902247,movie,Acts of Violence,0,2010,\N,"Crime,Drama,Thriller"
874596,tt0902262,video,Butchered,0,2010,71,Horror
874778,tt0902456,video,Silent Vengeance,0,2011,90,Horror
875305,tt0903009,video,Privileged,0,2010,\N,Drama
875307,tt0903012,short,Red Princess Blues,0,2010,11,"Action,Short,Thriller"
875327,tt0903036,movie,Westbrick Murders,0,2010,90,"Action,Crime,Thriller"
877523,tt0905319,video,Blood: A Butcher's Tale,0,2010,\N,Horror
877572,tt0905372,movie,The Thing,0,2011,103,"Horror,Mystery,Sci-Fi"
878918,tt0906778,movie,Black Butterflies,0,2011,100,"Biography,Drama"
879429,tt0907305,movie,Prey,0,2010,90,"Adventure,Drama,Horror"
879831,tt0907731,movie,Eager to Die,0,2010,109,"Drama,Thriller"
882919,tt0910926,movie,Movin' In,0,2010,95,"Comedy,Romance"
885875,tt0913993,tvMiniSeries,Bloodletting & Miraculous Cures,0,2010,60,Drama
886663,tt0914823,movie,House Under Siege,0,2010,78,"Action,Thriller"
886678,tt0914852,movie,Monkeyman935,0,2010,\N,Horror
886688,tt0914863,movie,Unthinkable,0,2010,97,"Crime,Drama,Thriller"
887262,tt0915463,movie,Jackboots on Whitehall,0,2010,91,"Animation,Comedy,Sci-Fi"
890188,tt0918553,movie,Periphery,0,2011,\N,Drama
890209,tt0918575,movie,Victim,0,2010,90,"Horror,Thriller"
892025,tt0920459,movie,The Happy Housewife,0,2010,100,"Comedy,Drama,Romance"
895161,tt0923653,movie,The Dead Undead,0,2010,89,"Action,Horror,Sci-Fi"
895454,tt0923954,movie,Truth About Kerry,0,2010,84,"Drama,Mystery,Thriller"
895757,tt0924266,movie,Pizza with Bullets,0,2010,99,Comedy
897547,tt0926084,movie,Harry Potter and the Deathly Hallows: Part 1,0,2010,146,"Adventure,Family,Fantasy"
898923,tt0927491,tvSeries,Shooting Gallery,0,2011,\N,\N
900217,tt0928820,tvEpisode,Celebrity Mastermind 2009/2010: Episode 5,0,2010,28,Game-Show
901000,tt0929618,movie,The Penthouse,0,2010,89,Comedy
901120,tt0929742,movie,Deep Gold 3D,0,2011,86,Action
902457,tt0931112,videoGame,Star Trek Online,0,2010,\N,"Action,Adventure,Sci-Fi"
905710,tt0934446,movie,"Glenn, the Flying Robot",0,2010,85,"Drama,Sci-Fi"
906234,tt0934981,movie,The Waiter,0,2010,92,"Action,Crime,Drama"
906328,tt0935075,movie,Rabbit Hole,0,2010,91,Drama
908547,tt0937353,movie,The Devil's Flower,0,2010,90,"Mystery,Romance"
909449,tt0938283,movie,The Last Airbender,0,2010,103,"Action,Adventure,Family"
910926,tt0939815,tvSeries,Regresso a Sizalinda,0,2010,\N,Drama
911746,tt0940656,movie,Arthur 3: The War of the Two Worlds,0,2010,101,"Adventure,Animation,Family"
913924,tt0942906,movie,White Knuckles,0,2010,88,"Drama,Thriller"
915805,tt0944835,movie,Salt,0,2010,100,"Action,Mystery,Thriller"
915907,tt0944947,tvSeries,Game of Thrones,0,2011,57,"Action,Adventure,Drama"
916453,tt0945513,movie,Source Code,0,2011,93,"Action,Drama,Mystery"
918641,tt0947798,movie,Black Swan,0,2010,108,"Drama,Thriller"
918651,tt0947810,movie,Green Zone,0,2010,115,"Action,Drama,Thriller"
925556,tt0954947,movie,The Killer Inside Me,0,2010,109,"Crime,Drama,Thriller"
925911,tt0955308,movie,Robin Hood,0,2010,140,"Action,Adventure,Drama"
929783,tt0959329,movie,Nine Dead,0,2010,98,"Crime,Drama,Horror"
930505,tt0960067,movie,Heart of Now,0,2010,90,Drama
931146,tt0960730,movie,Beautiful Darling,0,2010,85,Documentary
931238,tt0960827,movie,Private Security Officer: Los Angeles,0,2010,84,"Action,Comedy,Crime"
931274,tt0960864,movie,"Truth in Numbers? Everything, According to Wikipedia",0,2010,85,Documentary
931506,tt0961097,movie,A Monster in Paris,0,2011,90,"Adventure,Animation,Comedy"
932114,tt0961725,movie,Devour,0,2011,\N,Horror
933121,tt0962764,movie,The House of Sun,0,2010,110,Drama
933517,tt0963177,movie,Made in Romania,0,2010,95,Comedy
933631,tt0963292,movie,Feast of the Assumption: BTK and the Otero Family Murders,0,2010,86,"Crime,Documentary"
934279,tt0963966,movie,The Sorcerer's Apprentice,0,2010,109,"Action,Adventure,Family"
934814,tt0964517,movie,The Fighter,0,2010,116,"Biography,Drama,Sport"
934839,tt0964544,movie,Pushin' Up Daisies,0,2010,87,Comedy
935662,tt0965404,tvSeries,Bubble Guppies,0,2011,24,"Animation,Comedy,Family"
935680,tt0965424,movie,Have You Heard from Johannesburg: Hell of a Job,0,2010,57,Documentary
935681,tt0965425,movie,Have You Heard from Johannesburg: Road to Resistance,0,2010,65,Documentary
935685,tt0965429,movie,L'imbroglio nel lenzuolo,0,2010,105,"Comedy,Romance"
938423,tt0968264,movie,The Conspirator,0,2010,122,"Crime,Drama,History"
939453,tt0969332,movie,Little Witch on a Broomstick,0,2011,90,"Animation,Comedy,Family"
939766,tt0969653,movie,White Wall,0,2010,91,"Action,Mystery,Sci-Fi"
940275,tt0970179,movie,Hugo,0,2011,126,"Drama,Family,Fantasy"
940930,tt0970866,movie,Little Fockers,0,2010,98,"Comedy,Romance"
940988,tt0970926,movie,The Chosen One,0,2010,101,"Comedy,Drama"
941016,tt0970955,movie,The Reason,0,2010,70,"Drama,Fantasy,History"
942833,tt0972815,movie,Have You Heard from Johannesburg: Fair Play,0,2010,96,Documentary
942834,tt0972816,movie,Have You Heard from Johannesburg: The Bottom Line,0,2010,86,Documentary
942862,tt0972848,movie,Lives and Deaths of the Poets,0,2011,93,Comedy
943786,tt0973809,movie,Headhunter: The Assessment Weekend,0,2010,93,"Action,Thriller"
944509,tt0974584,movie,Black Limousine,0,2010,102,Drama
945581,tt0975738,movie,Sinatra Club,0,2010,88,"Action,Biography,Crime"
947429,tt0977639,movie,Boyle Heights,0,2010,101,Action
947635,tt0977855,movie,Fair Game,0,2010,108,"Biography,Drama,Thriller"
948523,tt0978763,videoGame,Red Steel 2,0,2010,\N,"Action,Western"
948524,tt0978764,movie,Sucker Punch,0,2011,110,"Action,Adventure,Fantasy"
948568,tt0978812,movie,Have You Heard from Johannesburg: Free at Last,0,2010,78,Documentary
948933,tt0979199,tvEpisode,Scribbling Mokona,0,2010,\N,"Action,Adventure,Animation"
949077,tt0979350,tvEpisode,Love That Transcends Time,0,2010,\N,"Action,Adventure,Animation"
949078,tt0979351,tvEpisode,The Beginning of Separation,0,2010,\N,"Action,Adventure,Animation"
949080,tt0979353,tvEpisode,The Dangerous Road,0,2010,\N,"Action,Adventure,Animation"
949159,tt0979432,tvSeries,Boardwalk Empire,0,2010,55,"Crime,Drama,History"
949161,tt0979434,movie,Lottery Ticket,0,2010,99,Comedy
950658,tt0980970,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,2010,113,"Adventure,Family,Fantasy"
950698,tt0981013,movie,Heredity,0,2010,\N,"Horror,Thriller"
950961,tt0981286,movie,Funkytown,0,2011,132,"Drama,Music"
